treatment_name,treatment,timestamp,ChannelID,nickname,body
T1: First+nofine,1,1676252931,9,プレイヤー 1,こんにちは！
T1: First+nofine,1,1676252952,9,プレイヤー 2,こんにちはこちらの評価額は64.38です
T1: First+nofine,1,1676252961,9,プレイヤー 1,こちらは64.25です！
T1: First+nofine,1,1676252979,9,プレイヤー 2,では０で入札してください
T1: First+nofine,1,1676252993,9,プレイヤー 2,等しく分けましょう
T1: First+nofine,1,1676252997,9,プレイヤー 1,分かりました！落札した方が半分分けるということですね？
T1: First+nofine,1,1676253004,9,プレイヤー 2,はい
T1: First+nofine,1,1676253012,9,プレイヤー 1,分かりました。
T1: First+nofine,1,1676253016,9,プレイヤー 2,こちらは0.1で入札します
T1: First+nofine,1,1676252930,10,プレイヤー 1,93.32
T1: First+nofine,1,1676252942,10,プレイヤー 2,51.78
T1: First+nofine,1,1676252956,10,プレイヤー 1,もらいますね
T1: First+nofine,1,1676252964,10,プレイヤー 2,りょうかい
T1: First+nofine,1,1676252941,11,プレイヤー 2,商品の評価額はだいたいいくらでしたか？
T1: First+nofine,1,1676252952,11,プレイヤー 1,自分が勝ったら３０ポイント差し上げられます
T1: First+nofine,1,1676252965,11,プレイヤー 1,６０くらいでした！
T1: First+nofine,1,1676252996,11,プレイヤー 2,では０ポイントで入札しましょうか？
T1: First+nofine,1,1676253008,11,プレイヤー 1,よろしくお願いします
T1: First+nofine,1,1676252939,12,プレイヤー 2,１６．５３です
T1: First+nofine,1,1676252948,12,プレイヤー 1,75.4です
T1: First+nofine,1,1676252974,12,プレイヤー 2,０にするので半分ほしいです
T1: First+nofine,1,1676252991,12,プレイヤー 1,半分は難しいですね
T1: First+nofine,1,1676253005,12,プレイヤー 1,20~30あたりでいかがでしょう
T1: First+nofine,1,1676253016,12,プレイヤー 2,ありがとうございます
T1: First+nofine,1,1676253120,13,プレイヤー 2,こんにちは。こちらの評価額は66.32です
T1: First+nofine,1,1676253138,13,プレイヤー 1,こんにちは55.35です
T1: First+nofine,1,1676253157,13,プレイヤー 1,0にするのでいくらか譲渡してほしいです
T1: First+nofine,1,1676253176,13,プレイヤー 2,承知しました。半分お渡しします。よろしくお願いします。
T1: First+nofine,1,1676253182,13,プレイヤー 1,ありがとうございます
T1: First+nofine,1,1676253117,14,プレイヤー 1,こんにちは
T1: First+nofine,1,1676253121,14,プレイヤー 2,こんにちは！
T1: First+nofine,1,1676253131,14,プレイヤー 1,評価額4.91と少なくなっています
T1: First+nofine,1,1676253139,14,プレイヤー 2,具体的っすね
T1: First+nofine,1,1676253162,14,プレイヤー 1,評価額はこれ以上ですか
T1: First+nofine,1,1676253165,14,プレイヤー 2,20-30の範囲にありますね
T1: First+nofine,1,1676253200,14,プレイヤー 2,評価額が低いなら、低い入札にしてくれれば10譲渡します
T1: First+nofine,1,1676253126,15,プレイヤー 1,私の評価額は4.93です
T1: First+nofine,1,1676253145,15,プレイヤー 2,28．43です
T1: First+nofine,1,1676253159,15,プレイヤー 2,０で入札していただければ１０ポイント差し上げます
T1: First+nofine,1,1676253184,15,プレイヤー 1,分かりました
T1: First+nofine,1,1676253121,16,プレイヤー 2,７２．７３です
T1: First+nofine,1,1676253127,16,プレイヤー 1,54.89
T1: First+nofine,1,1676253131,16,プレイヤー 1,どうぞ
T1: First+nofine,1,1676253143,16,プレイヤー 2,半分あげるんで０にしてください
T1: First+nofine,1,1676253156,16,プレイヤー 1,りょうかいです
T1: First+nofine,1,1676253161,16,プレイヤー 2,ありがとうございます
T1: First+nofine,1,1676253291,17,プレイヤー 1,こんにちは！
T1: First+nofine,1,1676253297,17,プレイヤー 2,こんにちは
T1: First+nofine,1,1676253309,17,プレイヤー 1,評価額が多い方が1.0ポイントとかで落札してポイント二等分しません？？
T1: First+nofine,1,1676253322,17,プレイヤー 2,良いですよ
T1: First+nofine,1,1676253330,17,プレイヤー 1,チャット毎回きょひられてたので嬉しいです笑
T1: First+nofine,1,1676253339,17,プレイヤー 2,それはよかったです笑
T1: First+nofine,1,1676253344,17,プレイヤー 2,いくらですか
T1: First+nofine,1,1676253344,17,プレイヤー 1,自分96.06でした
T1: First+nofine,1,1676253352,17,プレイヤー 1,最高でました
T1: First+nofine,1,1676253355,17,プレイヤー 2,私は42.29です
T1: First+nofine,1,1676253362,17,プレイヤー 2,お願いします！
T1: First+nofine,1,1676253369,17,プレイヤー 1,じゃあ自分が1でらくさつしますね！
T1: First+nofine,1,1676253290,18,プレイヤー 1,23.3です
T1: First+nofine,1,1676253292,18,プレイヤー 2,８３．３１です
T1: First+nofine,1,1676253300,18,プレイヤー 1,どうぞ
T1: First+nofine,1,1676253303,18,プレイヤー 1,0にします
T1: First+nofine,1,1676253312,18,プレイヤー 2,ありがとうございます
T1: First+nofine,1,1676253319,18,プレイヤー 2,半分渡します
T1: First+nofine,1,1676253343,18,プレイヤー 1,ありがとうございます
T1: First+nofine,1,1676253294,19,プレイヤー 1,よろしくです
T1: First+nofine,1,1676253331,19,プレイヤー 1,評価額が64.1でした
T1: First+nofine,1,1676253371,19,プレイヤー 1,動きがわからないんでそのままの値で入札します
T1: First+nofine,1,1676253292,20,プレイヤー 2,98.19です
T1: First+nofine,1,1676253300,20,プレイヤー 1,私の評価額は3.03です
T1: First+nofine,1,1676253332,20,プレイヤー 2,0.000001とかで入札して、大体半分ぐらいを山分けさせてください
T1: First+nofine,1,1676253349,20,プレイヤー 2,なので、あなたは0で入札していただければ
T1: First+nofine,1,1676253359,20,プレイヤー 1,分かりました
T1: First+nofine,1,1676253371,20,プレイヤー 2,おねがいします
T1: First+nofine,1,1676253292,21,プレイヤー 1,こんにちは。こちらの評価額は15.23です
T1: First+nofine,1,1676253295,21,プレイヤー 2,7こちらは6.71です
T1: First+nofine,1,1676253302,21,プレイヤー 2,７６．７１です
T1: First+nofine,1,1676253314,21,プレイヤー 2,０と入札してください
T1: First+nofine,1,1676253315,21,プレイヤー 1,それでは、0に入札いたしますので、分けていただけませんか
T1: First+nofine,1,1676253317,21,プレイヤー 1,ありがとうございます。
T1: First+nofine,1,1676253346,21,プレイヤー 2,こちらは０．０１と入札するのでポイントを等しくわけましょう
T1: First+nofine,1,1676253355,21,プレイヤー 1,承知しました。
T1: First+nofine,1,1676253361,21,プレイヤー 1,0に入札します。
T1: First+nofine,1,1676253370,21,プレイヤー 2,おねがいしまｓ
T1: First+nofine,1,1676253468,22,プレイヤー 1, 65.06です
T1: First+nofine,1,1676253485,22,プレイヤー 2,89.77でした，0.0001で入札するので山分けしませんか？
T1: First+nofine,1,1676253499,22,プレイヤー 1,了解です。０で行きます
T1: First+nofine,1,1676253538,22,プレイヤー 2,感謝
T1: First+nofine,1,1676253455,23,プレイヤー 2,67.28
T1: First+nofine,1,1676253461,23,プレイヤー 1,19.06です
T1: First+nofine,1,1676253491,23,プレイヤー 2,もらいますね
T1: First+nofine,1,1676253494,23,プレイヤー 1,0で入札するので、少しでも山分けいただければ有り難いです
T1: First+nofine,1,1676253504,23,プレイヤー 2,わかりました
T1: First+nofine,1,1676253463,24,プレイヤー 2,私の評価額は2.11です
T1: First+nofine,1,1676253465,24,プレイヤー 1,こんにちは77.48です
T1: First+nofine,1,1676253497,24,プレイヤー 2,０で入札するので１５ポイント譲ってもらうことは可能ですか？
T1: First+nofine,1,1676253506,24,プレイヤー 1,可能です
T1: First+nofine,1,1676253513,24,プレイヤー 2,ありがとうございます
T1: First+nofine,1,1676253459,25,プレイヤー 2,こんにちは。こちらは61.21です
T1: First+nofine,1,1676253474,25,プレイヤー 1,こちらは１０です、、
T1: First+nofine,1,1676253487,25,プレイヤー 2,0と入札してください。こちらが0.01入札しますので、等しく分けましょう
T1: First+nofine,1,1676253494,25,プレイヤー 1,ありがとうございます
T1: First+nofine,1,1676253524,25,プレイヤー 2,それではよろしくお願いします。
T1: First+nofine,1,1676253537,25,プレイヤー 1,よろしくお願いします！
T1: First+nofine,1,1676253460,26,プレイヤー 1,13.78
T1: First+nofine,1,1676253462,27,プレイヤー 1,８１．０４です
T1: First+nofine,1,1676253463,27,プレイヤー 2,こちらは90.98です
T1: First+nofine,1,1676253472,27,プレイヤー 1,0にします
T1: First+nofine,1,1676253476,27,プレイヤー 1,半分ください
T1: First+nofine,1,1676253479,27,プレイヤー 2,お願いします
T1: First+nofine,1,1676253485,27,プレイヤー 2,等しく分けましょう
T1: First+nofine,1,1676253488,27,プレイヤー 1,ありがとうございます
T1: First+nofine,1,1676253623,28,プレイヤー 1,８．３です
T1: First+nofine,1,1676253645,28,プレイヤー 2,私の評価額は90.52です
T1: First+nofine,1,1676253658,28,プレイヤー 1,0にするんで半分ください
T1: First+nofine,1,1676253678,28,プレイヤー 2,わかりました
T1: First+nofine,1,1676253681,28,プレイヤー 1,ありがとうございます
T1: First+nofine,1,1676253639,29,プレイヤー 2,こんにちは、こちらの評価額は35.2です。
T1: First+nofine,1,1676253667,29,プレイヤー 2,評価額をおしえていただけませんか？
T1: First+nofine,1,1676253674,29,プレイヤー 1,96，17です
T1: First+nofine,1,1676253687,29,プレイヤー 2,それでは、私が0と入札しますので、0.01で落札していただけますか？
T1: First+nofine,1,1676253697,29,プレイヤー 1,はい！
T1: First+nofine,1,1676253701,29,プレイヤー 2,お願いします。
T1: First+nofine,1,1676253624,30,プレイヤー 1,こんにちは！
T1: First+nofine,1,1676253633,30,プレイヤー 2,こんにちは。35.77です
T1: First+nofine,1,1676253633,30,プレイヤー 1,会話ずっときょひられてきたんで嬉しいです笑
T1: First+nofine,1,1676253646,30,プレイヤー 2,よかったです笑
T1: First+nofine,1,1676253651,30,プレイヤー 1,じぶん96.25です
T1: First+nofine,1,1676253662,30,プレイヤー 1,1で落札して二等分しましょうか？
T1: First+nofine,1,1676253672,30,プレイヤー 2,お願いします！
T1: First+nofine,1,1676253676,30,プレイヤー 1,46ポイントくらいあげればいいですかね
T1: First+nofine,1,1676253683,30,プレイヤー 2,ありがとうございます
T1: First+nofine,1,1676253688,30,プレイヤー 1,おけです！
